Fy17,Fy18,Fy19,Fy20,Fy21,Name,Name (largecap alpha.csv),Sub-Sector,Ticker,Ticker (largecap alpha.csv),5y Cagr,Alpha,Beta,Close Price,Market Cap,No. of Shareholders,PE Ratio,Pledged Promoter Holdings,Promoter Holding Change – 3M,Total Revenue
3061.74,4131.42,2302.55,3553.7,2860.29,Bajaj Auto Ltd,Bajaj Auto Ltd,Two Wheelers,BAJAJ-AUTO,BAJAJ-AUTO,6.050211521,1.456561807,0.946440476,3908.7,113104.8871,154309,23.28688931,0.004776633,0,29323.86
736.92,884.54,1264.78,1196.16,1803.46,Dabur India Ltd,Dabur India Ltd,FMCG - Personal Products,DABUR,DABUR,18.00748967,6.583794685,0.420842193,626.35,110729.6908,318852,65.39283695,0,-0.016246911,9871.89
5448.22,-7428.61,-5837.53,11543.47,11049.84,Grasim Industries Ltd,Grasim Industries Ltd,Cement,GRASIM,GRASIM,11.05027595,4.253446948,0.920933904,1648.75,108302.3401,236831,25.15838993,0,0.263140047,77876.45
1679.93,1411.86,1521.12,1436.09,1865.77,Godrej Consumer Products Ltd,Godrej Consumer Products Ltd,FMCG - Personal Products,GODREJCP,GODREJCP,14.55937803,5.550256326,0.603849001,1053.35,107709.6069,184980,62.59202411,0.416990439,0,11137.78
,,,,,Vedanta Ltd,Vedanta Ltd,Metals - Diversified,VEDL,VEDL,10.70462874,-6.185305258,1.549820422,290.65,107694.4787,621057,9.282406372,65.17517173,10.06756428,91442
,,,,,Coal India Ltd,Coal India Ltd,Mining - Coal,COALINDIA,COALINDIA,-11.87682878,-25.60628957,0.791896692,174.55,107570.4229,1062008,8.470185407,0,0,93818.39
,,,,,Hindalco Industries Ltd,Hindalco Industries Ltd,Metals - Aluminium,HINDALCO,HINDALCO,24.96495678,3.149367339,1.547848254,478.15,107169.3472,421300,30.7692642,0,-0.003335986,133339
920.71,-649.09,143.6,2428.41,3119.21,Shree Cement Ltd,Shree Cement Ltd,Cement,SHREECEM,SHREECEM,11.83052152,5.932123064,0.915374894,29242.95,105510.751,45423,46.15780905,0,0,13942.66
,,,,,Zomato Ltd,Zomato Ltd,Online Services,ZOMATO,ZOMATO,,,,139,105158.3299,641564,-129.3778665,0,0,2118.43
,,,,,DLF Ltd,DLF Ltd,Real Estate,DLF,DLF,21.32280524,12.74235591,1.453694821,410.05,101500.1565,353952,92.81202303,0,0,5944.89
1096.7,741.9,1238.5,1397,2127.7,Larsen & Toubro Infotech Ltd,Larsen & Toubro Infotech Ltd,IT Services & Consulting,LTI,LTI,55.32583965,30.13893416,0.774876023,5771.35,101098.9576,218751,52.21783875,0,-0.017930461,12644.2
81.5,825.84,754.57,1240.36,1609,Britannia Industries Ltd,Britannia Industries Ltd,FMCG - Foods,BRITANNIA,BRITANNIA,18.65723022,3.326507108,0.620764901,4003.65,96435.23533,315976,51.73841694,0,0,13449.82
-4843.06,-5223.92,-11687.3,-8352.95,11919.34,Mahindra and Mahindra Ltd,Mahindra and Mahindra Ltd,Four Wheelers,M&M,M&M,3.206578022,-19.26461075,1.488874274,806.05,96220.36782,531369,53.08739238,0.260220357,0.010978485,77077.15
,,,,,SBI Cards and Payment Services Ltd,SBI Cards and Payment Services Ltd,Payment Infrastructure,SBICARD,SBICARD,,,,1015.05,95536.11003,1118647,97.03826233,0,0.098630568,9713.58
4076.1,5620.05,11264.54,-112911.8,-130955.42,ICICI Prudential Life Insurance Company Ltd,ICICI Prudential Life Insurance Company Ltd,Insurance,ICICIPRULI,ICICIPRULI,,13.76533571,0.872867052,664,95424.84443,339654,99.8011237,0,-0.031425245,84851.19
-518.09,3315.87,-384.15,-4315.95,14347.89,Bharat Petroleum Corporation Ltd,Bharat Petroleum Corporation Ltd,Oil & Gas - Refining & Marketing,BPCL,BPCL,1.383700706,7.524540049,1.188315689,429.6,94760.68668,562947,5.862097366,0,0,237681.43
11282.12,-20936.23,-7032.41,-13327.82,44634.52,Indusind Bank Ltd,Indusind Bank Ltd,Private Banks,INDUSINDBK,INDUSINDBK,-1.471415586,-38.39069043,2.279042098,1134.75,87843.17554,396295,29.97948048,7.522835314,-0.011755839,35500.68
,,,,,Info Edge (India) Ltd,Info Edge (India) Ltd,Online Services,NAUKRI,NAUKRI,51.36362799,42.99804901,0.923177888,6755.45,86848.73602,179154,61.72267107,0,0,2703.63
,,,,,Indus Towers Ltd,Indus Towers Ltd,Telecom Infrastructure,INDUSTOWER,INDUSTOWER,-2.470219779,4.279081562,0.632559249,320.15,86262.8763,110943,22.82690561,28.12020534,0,15216.7
,,,,,Havells India Ltd,Havells India Ltd,Electrical Components & Equipments,HAVELLS,HAVELLS,26.71848983,10.73805065,1.035311987,1369.85,85748.64374,221938,82.1103348,0,-0.027554889,10644.66
1895.86,2328.21,595.42,3071.27,3098.72,Ambuja Cements Ltd,Ambuja Cements Ltd,Cement,AMBUJACEM,AMBUJACEM,9.635075896,12.51149559,0.827371409,413.1,82027.00441,249742,34.67727121,0,-0.009555753,24980.2
921.9,698.7,2032.8,2372.6,2314.2,Dr Reddy's Laboratories Ltd,Dr Reddy's Laboratories Ltd,Pharmaceuticals,DRREDDY,DRREDDY,8.594182294,19.8228759,0.168312219,4833.15,80165.08404,223309,41.07659563,0,-0.009466145,19386.9
125.9,129.03,318.07,289.69,609.67,Berger Paints India Ltd,Berger Paints India Ltd,Paints,BERGEPAINT,BERGEPAINT,25.33495208,26.67026442,0.630716523,819.3,79578.20238,186884,110.5636712,0,0,6869.08
1160.24,1733.75,783.96,1148.22,1158.75,Eicher Motors Ltd,Eicher Motors Ltd,Trucks & Buses,EICHERMOT,EICHERMOT,2.256703151,-4.399329516,1.000868101,2883.05,78822.49244,258544,58.52184843,0,-0.009453927,9204.67
1245.78,646.55,1164,2068.44,2936.28,Cipla Ltd,Cipla Ltd,Pharmaceuticals,CIPLA,CIPLA,9.895014886,8.731814183,0.360065302,971,78326.06689,408401,32.56977171,0,-0.006087719,19425.58
3544.83,2682.86,1463.98,5883.47,-2051.04,Interglobe Aviation Ltd,Interglobe Aviation Ltd,Airlines,INDIGO,INDIGO,17.04660701,19.39203815,0.805591493,2023.05,77917.12115,89834,-13.4191097,0,0,15677.59
603.01,-3.24,-72.41,922.65,1445.69,Tata Consumer Products Ltd,Tata Consumer Products Ltd,Tea & Coffee,TATACONSUM,TATACONSUM,41.16683489,34.83056548,0.776954487,822.7,75816.05959,610274,88.49882641,0.416277051,-0.001422192,11807.71
,,,,,Siemens Ltd,Siemens Ltd,Conglomerates,SIEMENS,SIEMENS,10.27192484,12.20911934,0.971548595,2101,74820.86558,122944,98.90398622,0,0,10179.3
,,,,,Motherson Sumi Systems Ltd,Motherson Sumi Systems Ltd,Auto Parts,MOTHERSUMI,MOTHERSUMI,10.43583506,-3.973531519,1.722619026,230.85,72900.91186,587928,70.15099294,2.279971481,0,58010.8
561.64,383,900,1026,1926,Marico Ltd,Marico Ltd,FMCG - Personal Products,MARICO,MARICO,14.11558056,14.49866899,0.388025583,550.95,71110.63155,206599,60.6746003,0,-0.001649511,9007
1573.96,2314.81,2859.49,3129.59,1694.55,ICICI Lombard General Insurance Company Ltd,ICICI Lombard General Insurance Company Ltd,Insurance,ICICIGI,ICICIGI,,11.38352602,0.632899251,1562.45,71055.93926,263588,48.23761694,0,-3.791440886,12678.38
,,,,,GAIL (India) Ltd,GAIL (India) Ltd,Gas Distribution,GAIL,GAIL,8.598345678,-12.44199504,1.134787097,159.5,70824.14434,553395,11.54173806,0,0.013639526,60210.92
,,,,,MindTree Ltd,MindTree Ltd,IT Services & Consulting,MINDTREE,MINDTREE,54.38200038,37.39533746,0.882103697,4207.9,69346.36957,131261,62.44607796,0,-0.005779336,8119.5
